window,model,feature,method,importance_norm_mean,importance_norm_std,importance_raw_mean,importance_raw_std,seed_n,rank_in_model
3d,random_forest,quarter,split_count,0.015590387086073557,0.0005719548603486379,1069.6666666666667,35.92121007612816,3,25
3d,random_forest,region_seen_in_train,split_count,0.0,0.0,0.0,0.0,3,26
3d,random_forest,region_train_count,split_count,0.0,0.0,0.0,0.0,3,27
7d,baseline_persistence,lag_0,rule_based,1.0,0.0,1.0,0.0,3,1
7d,baseline_persistence,cos_weekofyear,rule_based,0.0,0.0,0.0,0.0,3,2
7d,baseline_persistence,ewma_4,rule_based,0.0,0.0,0.0,0.0,3,3
7d,baseline_persistence,lag1_share_assault_battery,rule_based,0.0,0.0,0.0,0.0,3,4
7d,baseline_persistence,lag1_share_burglary,rule_based,0.0,0.0,0.0,0.0,3,5
7d,baseline_persistence,lag1_share_drug_narcotics,rule_based,0.0,0.0,0.0,0.0,3,6
7d,baseline_persistence,lag1_share_motor_vehicle_theft,rule_based,0.0,0.0,0.0,0.0,3,7
7d,baseline_persistence,lag1_share_robbery,rule_based,0.0,0.0,0.0,0.0,3,8
7d,baseline_persistence,lag1_share_theft_larceny,rule_based,0.0,0.0,0.0,0.0,3,9
7d,baseline_persistence,lag_1,rule_based,0.0,0.0,0.0,0.0,3,10
7d,baseline_persistence,lag_2,rule_based,0.0,0.0,0.0,0.0,3,11
7d,baseline_persistence,lag_4,rule_based,0.0,0.0,0.0,0.0,3,12
7d,baseline_persistence,month,rule_based,0.0,0.0,0.0,0.0,3,13
7d,baseline_persistence,neighbor_ewma_4,rule_based,0.0,0.0,0.0,0.0,3,14
7d,baseline_persistence,neighbor_lag_0,rule_based,0.0,0.0,0.0,0.0,3,15
7d,baseline_persistence,neighbor_lag_1,rule_based,0.0,0.0,0.0,0.0,3,16
7d,baseline_persistence,neighbor_roll_mean_4,rule_based,0.0,0.0,0.0,0.0,3,17
7d,baseline_persistence,quarter,rule_based,0.0,0.0,0.0,0.0,3,18
7d,baseline_persistence,region_seen_in_train,rule_based,0.0,0.0,0.0,0.0,3,19
7d,baseline_persistence,region_train_count,rule_based,0.0,0.0,0.0,0.0,3,20
7d,baseline_persistence,region_train_mean,rule_based,0.0,0.0,0.0,0.0,3,21
7d,baseline_persistence,region_train_std,rule_based,0.0,0.0,0.0,0.0,3,22
7d,baseline_persistence,rolling_mean_4,rule_based,0.0,0.0,0.0,0.0,3,23
7d,baseline_persistence,rolling_sum_4,rule_based,0.0,0.0,0.0,0.0,3,24
7d,baseline_persistence,self_neighbor_ratio_lag0,rule_based,0.0,0.0,0.0,0.0,3,25
7d,baseline_persistence,sin_weekofyear,rule_based,0.0,0.0,0.0,0.0,3,26
7d,baseline_persistence,weekofyear,rule_based,0.0,0.0,0.0,0.0,3,27
7d,logistic_regression,ewma_4,coef_abs,0.22849189738432565,0.0038794368731897046,3.790175755818685,0.1293515065966227,3,1
7d,logistic_regression,lag_0,coef_abs,0.12519077211618423,0.0014241367165260953,2.076304833094279,0.0469792195236404,3,2
7d,logistic_regression,lag1_share_assault_battery,coef_abs,0.07208724816640218,0.0023070510220116565,1.1959137519200642,0.05658496825230904,3,3
7d,logistic_regression,lag1_share_theft_larceny,coef_abs,0.0645010806620121,0.0020539914196745154,1.0700819492340088,0.051241795624400246,3,4
7d,logistic_regression,region_train_mean,coef_abs,0.059278763830661774,0.0015664043346387065,0.9828755259513855,0.016092179060611802,3,5
7d,logistic_regression,self_neighbor_ratio_lag0,coef_abs,0.051250554621219635,0.0017563487481383783,0.850273867448171,0.04308709036230335,3,6
7d,logistic_regression,lag_1,coef_abs,0.043673232197761536,0.0024928608920966127,0.7245455384254456,0.04923148066073074,3,7
7d,logistic_regression,neighbor_roll_mean_4,coef_abs,0.03874340156714121,0.0029926657178111216,0.6419711311658224,0.038593604497772396,3,8
7d,logistic_regression,month,coef_abs,0.033506132662296295,0.0001431806395084784,0.5557142694791158,0.011987469970832958,3,9
7d,logistic_regression,neighbor_ewma_4,coef_abs,0.032318991919358574,0.0037934096007028436,0.5353375275929769,0.054211748306013365,3,10
7d,logistic_regression,cos_weekofyear,coef_abs,0.027889988695581753,0.00152034903071329,0.4625481069087982,0.026538515549982284,3,11
7d,logistic_regression,lag_4,coef_abs,0.02715278168519338,0.0007508694368506705,0.45032814145088196,0.01500061456647671,3,12
7d,logistic_regression,lag1_share_drug_narcotics,coef_abs,0.021342381834983826,0.0009244316522855153,0.3540702760219574,0.019710693871142104,3,13
7d,logistic_regression,weekofyear,coef_abs,0.019714404518405598,0.0009670328127262998,0.32679739594459534,0.01140886548450968,3,14
7d,logistic_regression,lag1_share_motor_vehicle_theft,coef_abs,0.01853944982091586,0.0006402316172699169,0.3075685699780782,0.015332064989191612,3,15
7d,logistic_regression,quarter,coef_abs,0.01693542239566644,0.0006325809880447427,0.28077247738838196,0.007196195508946434,3,16
7d,logistic_regression,lag_2,coef_abs,0.015964472045501072,0.0008513969788719201,0.2647962421178818,0.01571363687146121,3,17
7d,logistic_regression,rolling_mean_4,coef_abs,0.014883284457027912,0.0053764242133592976,0.24580206970373789,0.08507005730181402,3,18
7d,logistic_regression,neighbor_lag_1,coef_abs,0.014568003515402475,0.0013605315749743174,0.24135642250378928,0.01879787703189733,3,19
7d,logistic_regression,lag1_share_robbery,coef_abs,0.014176904844741026,0.0005322847092164673,0.23517400523026785,0.011630678911577208,3,20
7d,logistic_regression,sin_weekofyear,coef_abs,0.01364547045280536,0.0005238519477538937,0.2262784739335378,0.008508292203060937,3,21
7d,logistic_regression,rolling_sum_4,coef_abs,0.01337681245058775,0.0034028625642276286,0.2218456914027532,0.05636038988042074,3,22
7d,logistic_regression,lag1_share_burglary,coef_abs,0.009944663693507513,0.00029119696565188275,0.16498195131619772,0.007639616946983079,3,23
7d,logistic_regression,neighbor_lag_0,coef_abs,0.008171447552740574,0.0013074922331983427,0.135310098528862,0.01957717861081392,3,24
7d,logistic_regression,region_train_count,coef_abs,0.006179620511829853,0.0037962918182560808,0.10321512321631114,0.0649707367670006,3,25
7d,logistic_regression,region_seen_in_train,coef_abs,0.005560398101806641,0.0012502652927120792,0.09230940292278926,0.021212832685321883,3,26
7d,logistic_regression,region_train_std,coef_abs,0.002912419382482767,0.000500289638605668,0.04830313722292582,0.008342668996524843,3,27
7d,lstm,lag_4,grad_abs_mean,0.06128612036506335,0.011200422831862348,0.0004653590149246156,0.00011572044585892036,3,1
7d,lstm,lag1_share_robbery,grad_abs_mean,0.061237890273332596,0.007932990166015234,0.0004579089484953632,3.0192673132576973e-05,3,2
7d,lstm,lag_0,grad_abs_mean,0.05487691486875216,0.016074482334829505,0.00043353871054326493,0.00021924620674612785,3,3
7d,lstm,lag1_share_burglary,grad_abs_mean,0.05319566652178764,0.0034408855683949985,0.00040526284525791806,8.904505055656013e-05,3,4
7d,lstm,neighbor_lag_0,grad_abs_mean,0.04624838009476662,0.001289597112953717,0.00035240224679000676,7.626230838761866e-05,3,5
7d,lstm,lag1_share_drug_narcotics,grad_abs_mean,0.04591481884320577,0.003582498337067576,0.0003501565079204738,8.148532761226927e-05,3,6
