window,seed,model,feature,method,importance_raw,importance_norm
7d,1,random_forest,self_neighbor_ratio_lag0,split_count,1977.0,0.04514523223042488
7d,1,random_forest,lag1_share_theft_larceny,split_count,1617.0,0.03692455217242241
7d,1,random_forest,lag1_share_assault_battery,split_count,1705.0,0.03893405199050903
7d,1,random_forest,lag1_share_burglary,split_count,1795.0,0.0409892201423645
7d,1,random_forest,lag1_share_robbery,split_count,1773.0,0.04048684611916542
7d,1,random_forest,lag1_share_motor_vehicle_theft,split_count,1744.0,0.039824627339839935
7d,1,random_forest,lag1_share_drug_narcotics,split_count,1717.0,0.039208073168992996
7d,1,random_forest,month,split_count,1252.0,0.028589697554707527
7d,1,random_forest,weekofyear,split_count,1603.0,0.0366048589348793
7d,1,random_forest,quarter,split_count,667.0,0.01523109246045351
7d,1,random_forest,sin_weekofyear,split_count,1547.0,0.03532608598470688
7d,1,random_forest,cos_weekofyear,split_count,1780.0,0.04064669460058212
7d,1,random_forest,region_train_mean,split_count,1604.0,0.036627694964408875
7d,1,random_forest,region_train_std,split_count,1439.0,0.032859884202480316
7d,1,random_forest,region_train_count,split_count,0.0,0.0
7d,1,random_forest,region_seen_in_train,split_count,0.0,0.0
7d,1,lstm,lag_0,grad_abs_mean,0.0006858600536361337,0.07308945804834366
7d,1,lstm,lag_1,grad_abs_mean,0.0002424801787128672,0.02584017626941204
7d,1,lstm,lag_2,grad_abs_mean,0.0003374233201611787,0.035957902669906616
7d,1,lstm,lag_4,grad_abs_mean,0.0005706711090169847,0.06081421673297882
7d,1,lstm,rolling_mean_4,grad_abs_mean,0.0003484415356069803,0.03713206946849823
7d,1,lstm,rolling_sum_4,grad_abs_mean,0.00028386368649080396,0.03025025688111782
7d,1,lstm,ewma_4,grad_abs_mean,0.0003113832790404558,0.033182915300130844
7d,1,lstm,neighbor_lag_0,grad_abs_mean,0.0004402909253258258,0.04692010581493378
7d,1,lstm,neighbor_lag_1,grad_abs_mean,0.0002864743582904339,0.030528467148542404
7d,1,lstm,neighbor_roll_mean_4,grad_abs_mean,0.00028080199263058603,0.02992398478090763
7d,1,lstm,neighbor_ewma_4,grad_abs_mean,0.00025906466180458665,0.027607521042227745
7d,1,lstm,self_neighbor_ratio_lag0,grad_abs_mean,0.00041526451241225004,0.044253136962652206
7d,1,lstm,lag1_share_theft_larceny,grad_abs_mean,0.0002572984085418284,0.027419298887252808
7d,1,lstm,lag1_share_assault_battery,grad_abs_mean,0.0003095598076470196,0.032988592982292175
7d,1,lstm,lag1_share_burglary,grad_abs_mean,0.0005034584319218993,0.05365162342786789
7d,1,lstm,lag1_share_robbery,grad_abs_mean,0.0004896956961601973,0.05218498036265373
7d,1,lstm,lag1_share_motor_vehicle_theft,grad_abs_mean,0.00047921494115144014,0.05106808617711067
7d,1,lstm,lag1_share_drug_narcotics,grad_abs_mean,0.00044129721936769783,0.0470273420214653
7d,1,lstm,month,grad_abs_mean,0.00030547883943654597,0.03255370259284973
7d,1,lstm,weekofyear,grad_abs_mean,0.00021383889543358237,0.02278798632323742
7d,1,lstm,quarter,grad_abs_mean,0.0003822816361207515,0.04073827713727951
7d,1,lstm,sin_weekofyear,grad_abs_mean,0.00028659639065153897,0.030541472136974335
7d,1,lstm,cos_weekofyear,grad_abs_mean,0.0003365576849319041,0.035865653306245804
7d,1,lstm,region_train_mean,grad_abs_mean,0.00046086616930551827,0.04911272972822189
7d,1,lstm,region_train_std,grad_abs_mean,0.00022402952890843153,0.023873962461948395
7d,1,lstm,region_train_count,grad_abs_mean,0.00011525869194883853,0.012282674200832844
7d,1,lstm,region_seen_in_train,grad_abs_mean,0.00011639163130894303,0.012403407134115696
7d,2,baseline_persistence,lag_0,rule_based,1.0,1.0
7d,2,baseline_persistence,lag_1,rule_based,0.0,0.0
7d,2,baseline_persistence,lag_2,rule_based,0.0,0.0
7d,2,baseline_persistence,lag_4,rule_based,0.0,0.0
7d,2,baseline_persistence,rolling_mean_4,rule_based,0.0,0.0
7d,2,baseline_persistence,rolling_sum_4,rule_based,0.0,0.0
7d,2,baseline_persistence,ewma_4,rule_based,0.0,0.0
7d,2,baseline_persistence,neighbor_lag_0,rule_based,0.0,0.0
7d,2,baseline_persistence,neighbor_lag_1,rule_based,0.0,0.0
7d,2,baseline_persistence,neighbor_roll_mean_4,rule_based,0.0,0.0
7d,2,baseline_persistence,neighbor_ewma_4,rule_based,0.0,0.0
7d,2,baseline_persistence,self_neighbor_ratio_lag0,rule_based,0.0,0.0
7d,2,baseline_persistence,lag1_share_theft_larceny,rule_based,0.0,0.0
7d,2,baseline_persistence,lag1_share_assault_battery,rule_based,0.0,0.0
7d,2,baseline_persistence,lag1_share_burglary,rule_based,0.0,0.0
7d,2,baseline_persistence,lag1_share_robbery,rule_based,0.0,0.0
7d,2,baseline_persistence,lag1_share_motor_vehicle_theft,rule_based,0.0,0.0
7d,2,baseline_persistence,lag1_share_drug_narcotics,rule_based,0.0,0.0
7d,2,baseline_persistence,month,rule_based,0.0,0.0
7d,2,baseline_persistence,weekofyear,rule_based,0.0,0.0
7d,2,baseline_persistence,quarter,rule_based,0.0,0.0
7d,2,baseline_persistence,sin_weekofyear,rule_based,0.0,0.0
7d,2,baseline_persistence,cos_weekofyear,rule_based,0.0,0.0
7d,2,baseline_persistence,region_train_mean,rule_based,0.0,0.0
