region_id,time_id,lag_0,lag_1,lag_2,lag_4,rolling_mean_4,rolling_sum_4,ewma_4,neighbor_lag_0,neighbor_lag_1,neighbor_roll_mean_4,neighbor_ewma_4,self_neighbor_ratio_lag0,lag1_share_theft_larceny,lag1_share_assault_battery,lag1_share_burglary,lag1_share_robbery,lag1_share_motor_vehicle_theft,lag1_share_drug_narcotics,month,weekofyear,quarter,sin_weekofyear,cos_weekofyear,region_train_mean,region_train_std,region_train_count,region_seen_in_train,y,y_count
IL__CPD_DIST_2,2025-04-29,78,70.0,75.0,75.0,74.75,299.0,71.58438344892491,56.65217391304348,58.0,55.16304347826088,55.60335011887334,1.3768227168073677,0.34285714285714286,0.38571428571428573,0.014285714285714285,0.04285714285714286,0.18571428571428572,0.02857142857142857,4,18,2,0.8229838658936565,-0.5680647467311557,63.15594059405941,14.09345729713128,1212,1,1,76.0
IL__CPD_DIST_2,2025-05-02,76,78.0,70.0,79.0,75.5,302.0,74.15063006935495,50.608695652173914,56.65217391304348,55.27173913043479,56.02287963654139,1.5017182130584192,0.4230769230769231,0.2948717948717949,0.07692307692307693,0.02564102564102564,0.1282051282051282,0.05128205128205128,5,18,2,0.8229838658936565,-0.5680647467311557,63.15594059405941,14.09345729713128,1212,1,1,91.0
IL__CPD_DIST_2,2025-05-05,91,76.0,78.0,75.0,74.75,299.0,74.89037804161296,53.69565217391305,50.608695652173914,55.05434782608696,53.857206042794395,1.694736842105263,0.3157894736842105,0.25,0.039473684210526314,0.039473684210526314,0.35526315789473684,0.0,5,19,2,0.7485107481711013,-0.6631226582407951,63.15594059405941,14.09345729713128,1212,1,0,58.0
IL__CPD_DIST_2,2025-05-08,58,91.0,76.0,70.0,78.75,315.0,81.33422682496777,55.43478260869565,53.69565217391305,54.739130434782616,53.792584495241854,1.0462745098039217,0.42857142857142855,0.2967032967032967,0.0989010989010989,0.04395604395604396,0.12087912087912088,0.01098901098901099,5,19,2,0.7485107481711013,-0.6631226582407951,63.15594059405941,14.09345729713128,1212,1,0,61.0
IL__CPD_DIST_2,2025-05-11,61,58.0,91.0,78.0,75.75,303.0,72.00053609498067,53.34782608695652,55.43478260869565,54.09782608695653,54.44946374062337,1.143439282803586,0.39655172413793105,0.3448275862068966,0.034482758620689655,0.05172413793103448,0.15517241379310345,0.017241379310344827,5,19,2,0.7485107481711013,-0.6631226582407951,63.15594059405941,14.09345729713128,1212,1,1,77.0
IL__CPD_DIST_2,2025-05-14,77,61.0,58.0,76.0,71.5,286.0,67.6003216569884,59.30434782608695,53.34782608695652,53.27173913043479,54.00880867915663,1.2983870967741935,0.39344262295081966,0.36065573770491804,0.0,0.08196721311475409,0.14754098360655737,0.01639344262295082,5,20,2,0.6631226582407952,-0.7485107481711012,63.15594059405941,14.09345729713128,1212,1,0,71.0
IL__CPD_DIST_2,2025-05-17,71,77.0,61.0,91.0,71.75,287.0,71.36019299419304,56.43478260869565,59.30434782608695,55.445652173913054,56.12702433792876,1.2580893682588599,0.4155844155844156,0.4155844155844156,0.012987012987012988,0.03896103896103896,0.11688311688311688,0.0,5,20,2,0.6631226582407952,-0.7485107481711012,63.15594059405941,14.09345729713128,1212,1,0,74.0
IL__CPD_DIST_2,2025-05-20,74,71.0,77.0,58.0,66.75,267.0,71.21611579651582,51.08695652173913,56.43478260869565,56.1304347826087,56.25012764623551,1.4485106382978723,0.323943661971831,0.36619718309859156,0.07042253521126761,0.028169014084507043,0.2112676056338028,0.0,5,21,2,0.5680647467311558,-0.8229838658936564,63.15594059405941,14.09345729713128,1212,1,1,82.0
IL__CPD_DIST_2,2025-05-23,82,74.0,71.0,61.0,70.75,283.0,72.32966947790949,57.52173913043478,51.08695652173913,55.04347826086958,54.18485919643696,1.4255479969765685,0.3918918918918919,0.47297297297297297,0.02702702702702703,0.0,0.10810810810810811,0.0,5,21,2,0.5680647467311558,-0.8229838658936564,63.15594059405941,14.09345729713128,1212,1,1,90.0
IL__CPD_DIST_2,2025-05-26,90,82.0,74.0,77.0,76.0,304.0,76.19780168674569,56.47826086956522,57.52173913043478,56.08695652173914,55.519611170036086,1.5935334872979214,0.5121951219512195,0.3170731707317073,0.036585365853658534,0.012195121951219513,0.10975609756097561,0.012195121951219513,5,22,2,0.46472317204376906,-0.8854560256532096,63.15594059405941,14.09345729713128,1212,1,0,67.0
