time_window_days,domain,model,seed,metric,value,crime_group,date_bucket,slice
7,nibrs,logistic_regression,0,f1,0.4752475247524752,,2024-02,temporal
7,nibrs,logistic_regression,0,f1,0.5185185185185185,,2024-03,temporal
7,nibrs,logistic_regression,0,f1,0.5957446808510638,,2024-04,temporal
7,nibrs,logistic_regression,0,f1,0.728813559322034,,2024-05,temporal
7,nibrs,logistic_regression,0,f1,0.6949152542372882,,2024-06,temporal
7,nibrs,logistic_regression,0,f1,0.684931506849315,,2024-07,temporal
7,nibrs,logistic_regression,0,f1,0.6949152542372882,,2024-08,temporal
7,nibrs,logistic_regression,0,f1,0.7019867549668874,,2024-09,temporal
7,nibrs,logistic_regression,0,f1,0.6486486486486487,,2024-10,temporal
7,nibrs,logistic_regression,0,f1,0.6407766990291262,,2024-11,temporal
7,nibrs,logistic_regression,0,f1,0.6436781609195402,,2024-12,temporal
7,nibrs,lstm,0,f1,0.0,,2024-01,temporal
7,nibrs,lstm,0,f1,0.025641025641025647,,2024-02,temporal
7,nibrs,lstm,0,f1,0.0,,2024-03,temporal
7,nibrs,lstm,0,f1,0.21621621621621626,,2024-04,temporal
7,nibrs,lstm,0,f1,0.4210526315789474,,2024-05,temporal
7,nibrs,lstm,0,f1,0.5272727272727273,,2024-06,temporal
7,nibrs,lstm,0,f1,0.611111111111111,,2024-07,temporal
7,nibrs,lstm,0,f1,0.6194690265486725,,2024-08,temporal
7,nibrs,lstm,0,f1,0.6,,2024-09,temporal
7,nibrs,lstm,0,f1,0.6238532110091742,,2024-10,temporal
7,nibrs,lstm,0,f1,0.6274509803921569,,2024-11,temporal
7,nibrs,lstm,0,f1,0.5411764705882354,,2024-12,temporal
7,nibrs,random_forest,0,f1,0.9473684210526315,,2024-01,temporal
7,nibrs,random_forest,0,f1,0.9536423841059603,,2024-02,temporal
7,nibrs,random_forest,0,f1,0.961038961038961,,2024-03,temporal
7,nibrs,random_forest,0,f1,0.9435897435897437,,2024-04,temporal
7,nibrs,random_forest,0,f1,0.9801324503311258,,2024-05,temporal
7,nibrs,random_forest,0,f1,0.9605263157894737,,2024-06,temporal
7,nibrs,random_forest,0,f1,0.9633507853403142,,2024-07,temporal
7,nibrs,random_forest,0,f1,0.948051948051948,,2024-08,temporal
7,nibrs,random_forest,0,f1,0.9574468085106383,,2024-09,temporal
7,nibrs,random_forest,0,f1,0.9387755102040817,,2024-10,temporal
7,nibrs,random_forest,0,f1,0.9781021897810218,,2024-11,temporal
7,nibrs,random_forest,0,f1,0.8813559322033898,,2024-12,temporal
7,chicago_2025,baseline_persistence,1,f1,0.0,,2024-12,temporal
7,chicago_2025,baseline_persistence,1,f1,0.3529411764705882,,2025-01,temporal
7,chicago_2025,baseline_persistence,1,f1,0.5,,2025-02,temporal
7,chicago_2025,baseline_persistence,1,f1,0.5,,2025-03,temporal
7,chicago_2025,baseline_persistence,1,f1,0.6818181818181819,,2025-04,temporal
7,chicago_2025,baseline_persistence,1,f1,0.6923076923076923,,2025-05,temporal
7,chicago_2025,baseline_persistence,1,f1,0.8433734939759037,,2025-06,temporal
7,chicago_2025,baseline_persistence,1,f1,0.7941176470588236,,2025-07,temporal
7,chicago_2025,baseline_persistence,1,f1,0.6274509803921569,,2025-08,temporal
7,chicago_2025,baseline_persistence,1,f1,0.75,,2025-09,temporal
7,chicago_2025,baseline_persistence,1,f1,0.7777777777777777,,2025-10,temporal
7,chicago_2025,baseline_persistence,1,f1,0.47058823529411764,,2025-11,temporal
7,chicago_2025,baseline_persistence,1,f1,0.25,,2025-12,temporal
7,chicago_2025,logistic_regression,1,f1,0.0,,2024-12,temporal
7,chicago_2025,logistic_regression,1,f1,0.6363636363636365,,2025-01,temporal
7,chicago_2025,logistic_regression,1,f1,0.7692307692307693,,2025-02,temporal
7,chicago_2025,logistic_regression,1,f1,0.5555555555555556,,2025-03,temporal
7,chicago_2025,logistic_regression,1,f1,0.7272727272727273,,2025-04,temporal
7,chicago_2025,logistic_regression,1,f1,0.7878787878787878,,2025-05,temporal
7,chicago_2025,logistic_regression,1,f1,0.9130434782608696,,2025-06,temporal
7,chicago_2025,logistic_regression,1,f1,0.8648648648648648,,2025-07,temporal
7,chicago_2025,logistic_regression,1,f1,0.7575757575757575,,2025-08,temporal
7,chicago_2025,logistic_regression,1,f1,0.7948717948717949,,2025-09,temporal
7,chicago_2025,logistic_regression,1,f1,0.7272727272727273,,2025-10,temporal
7,chicago_2025,logistic_regression,1,f1,0.4,,2025-11,temporal
7,chicago_2025,logistic_regression,1,f1,0.5,,2025-12,temporal
7,chicago_2025,lstm,1,f1,0.0,,2024-12,temporal
7,chicago_2025,lstm,1,f1,0.3333333333333333,,2025-01,temporal
7,chicago_2025,lstm,1,f1,0.6,,2025-02,temporal
7,chicago_2025,lstm,1,f1,0.30769230769230765,,2025-03,temporal
